index,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,date
157,39,6,37782,1613059758000,16182,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
158,245,6,37175,1609763007000,15575,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
159,84,6,35024,1607484595000,13424,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
160,62,6,34603,1613736906000,13003,0,0,2,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
161,412,6,33643,1607896236000,12043,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
162,85,6,32724,1614624195000,11124,0,1,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
163,79,5,28915,1614970414000,7315,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
164,80,5,24907,1613561762000,3307,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
165,267,5,24746,1614302782000,3146,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
166,240,5,24506,1608695279000,2906,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
167,8,5,23106,1613071719000,1506,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
168,238,5,23055,1614632391000,1455,0,1,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
169,28,5,22487,1608447937000,887,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
170,114,5,22230,1614634090000,630,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
171,117,4,21527,1614017738000,8927,73,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
